Descripcion;Identificador;Titulo;Año;Prevision Inicial ;IngresoClassificationPath;
01;2021-240-01;IMPUESTO SOBRE PRODUCTOS INTERMEDIOS;2021;67130;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
02;2021-240-02;IMPUESTO SOBRE LA CERVEZA;2021;1115630;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
03;2021-240-03;IMPUESTO SOBRE LAS LABORES DEL TABACO;2021;27682090;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
04;2021-240-04;IMPUESTO SOBRE HIDROCARBUROS;2021;24727420;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
05;2021-240-05;IMPUESTO SOBRE LA ELECTRICIDAD;2021;9323620;Comunidad Autónoma de La Rioja, 24 SOBRE CONSUMOS ESPECÍFICOS, 2 IMPUESTOS INDIRECTOS, 240 IMPUESTOS ESPECIALES;
  ;2021-280-  ;SOBRE DETERMINADOS MEDIOS DE TRANSPORTE;2021;3000000;Comunidad Autónoma de La Rioja, 280 SOBRE DETERMINADOS MEDIOS DE TRANSPORTE, 2 IMPUESTOS INDIRECTOS, 28 OTROS IMPUESTOS INDIRECTOS;
01;2021-282-01;SOBRE ELIMINACION DE RESIDUOS EN VERTEDEROS;2021;300000;Comunidad Autónoma de La Rioja, 282 IMPUESTOS MEDIOAMBIENTALES, 2 IMPUESTOS INDIRECTOS, 28 OTROS IMPUESTOS INDIRECTOS;
02;2021-282-02;IMPUESTO SOBRE EL IMPACTO VISUAL ELEMENTOS SUMINISTRO ENERGIA ELECTRICA;2021;2300000;Comunidad Autónoma de La Rioja, 282 IMPUESTOS MEDIOAMBIENTALES, 2 IMPUESTOS INDIRECTOS, 28 OTROS IMPUESTOS INDIRECTOS;
02;2021-300-02;VENTA DE PUBLICACIONES DEL INSTITUTO DE ESTUDIOS RIOJANOS;2021;35000;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 300 VENTA DE PUBLICACIONES PROPIAS;
99;2021-300-99;VENTA DE OTRAS PUBLICACIONES;2021;800;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 300 VENTA DE PUBLICACIONES PROPIAS;
00;2021-304-00;VENTA DE PLANTAS Y SEMILLAS DE VIVEROS;2021;150000;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 304 VENTA DE PRODUCTOS AGROPECUARIOS;
01;2021-304-01;EXPLOTACIONES AGRARIAS;2021;324000;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 304 VENTA DE PRODUCTOS AGROPECUARIOS;
08;2021-309-08;VENTA OBJETOS PUBLICITARIOS;2021;1000;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 309 VENTA DE OTROS BIENES;
09;2021-309-09;VENTA DE CHATARRA;2021;3500;Comunidad Autónoma de La Rioja, 30 VENTA DE BIENES, 3 TASAS Y OTROS INGRESOS, 309 VENTA DE OTROS BIENES;
00;2021-312-00;RESIDENCIA DE PERSONAS MAYORES DE CALAHORRA;2021;940800;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
01;2021-312-01;RESIDENCIA DE PERSONAS MAYORES DE LARDERO;2021;892300;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
02;2021-312-02;HOGARES DE TERCERA EDAD;2021;200000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
03;2021-312-03;ESTANCIAS RESIDENCIA SANTA LUCIA DE FUENMAYOR;2021;806500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
04;2021-312-04;CENTROS CONCERTADOS ANCIANOS, DISCAPACITADOS Y OTROS;2021;2100000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
05;2021-312-05;CENTROS DE DIA. SERVICIOS DE PERSONAS MAYORES;2021;1447000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
06;2021-312-06;PLAZAS CONCERTADAS DE PERSONAS MAYORES;2021;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
07;2021-312-07;PLAZAS CONCERTADAS PERSONAS CON DISCAPACIDAD;2021;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
08;2021-312-08;CAMPAMENTOS E INTERCAMBIOS;2021;40000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
09;2021-312-09;CENTROS DE INFORMACION JUVENILES;2021;3000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
10;2021-312-10;GESTION RED DE ALBERGUES JUVENILES;2021;10000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
11;2021-312-11;CURSOS DE FORMACION JUVENIL;2021;4000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL, 31 PRESTACION DE SERVICIOS;
00;2021-313-00;CENTRO ASISTENCIAL ALBELDA DE IREGUA;2021;500000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
01;2021-313-01;ESCUELAS INFANTILES DE PRIMER CICLO;2021;125000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
02;2021-313-02;SERVICIOS DOCENTES ESCUELA SUPERIOR DE DISEÑO DE LA RIOJA;2021;500000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
04;2021-313-04;VENTA DE ENTRADAS FILMOTECA RAFAEL AZCONA;2021;18000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
05;2021-313-05;VENTA DE ENTRADAS VEN A LA BENE;2021;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
06;2021-313-06;ACTIVIDADES DIDACTICAS ORGANIZADAS POR LOS MUSEOS DE LA RIOJA;2021;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
07;2021-313-07;INSTALACIONES DEPORTIVAS;2021;35000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
08;2021-313-08;JUEGOS DEPORTIVOS DE LA RIOJA;2021;152000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE, 31 PRESTACION DE SERVICIOS;
00;2021-314-00;SERVICIO ANALITICO LABORARIO REGIONAL;2021;140000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARACTER ECONOMICO, 31 PRESTACION DE SERVICIOS;
01;2021-314-01;DERECHOS DE PLANTACION DE UVA BLANCA;2021;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARACTER ECONOMICO, 31 PRESTACION DE SERVICIOS;
02;2021-314-02;SERVICIOS ANALITICOS ESTACION ENOLOGICA DE HARO;2021;630000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARACTER ECONOMICO, 31 PRESTACION DE SERVICIOS;
06;2021-314-06;VENTA DE CARNET DE TRANSPORTE ESTUDIANTES;2021;3000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARACTER ECONOMICO, 31 PRESTACION DE SERVICIOS;
00;2021-319-00;DERECHOS MATRICULA CURSOS Y SEMINARIOS;2021;400000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 319 PRESTACION DE OTROS SERVICIOS, 31 PRESTACION DE SERVICIOS;
01;2021-319-01;RECINTO FERIAL ALBELDA DE IREGUA;2021;6700;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 319 PRESTACION DE OTROS SERVICIOS, 31 PRESTACION DE SERVICIOS;
05;2021-319-05;SERVICIO ESTACIONAMIENTO Y APARCAMIENTO HOSPITAL SAN PEDRO;2021;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 319 PRESTACION DE OTROS SERVICIOS, 31 PRESTACION DE SERVICIOS;
06;2021-319-06;SERVICIO PERICIAL INS MEDICINA LEGAL RECLAMACIONES CIRCULACION VEHICULOS A MOTOR;2021;5000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 319 PRESTACION DE OTROS SERVICIOS, 31 PRESTACION DE SERVICIOS;
99;2021-319-99;OTROS;2021;2600;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 319 PRESTACION DE OTROS SERVICIOS, 31 PRESTACION DE SERVICIOS;
00;2021-321-00;TASA 1.01 PRESTACION DEL SERVICIO DE TRANSPORTE AGUA POTABLE;2021;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 321 SERVICIOS PUBLICOS BASICOS;
01;2021-321-01;TASA 1.02. INSCRIPCION Y EXPEDICION CERTIFICADOS REGISTRO PAREJAS DE HECHO;2021;4000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 321 SERVICIOS PUBLICOS BASICOS;
03;2021-321-03;TASA 1.04 UTILIZACION CENTROS TELECOMUNICACIONES POR CONCESIONARIOS RADIODIFUSIO;2021;123000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 321 SERVICIOS PUBLICOS BASICOS;
00;2021-323-00;TASA 3.01 INSCRIPCION PRUEBAS LIBRES OBTENCION TITULO BACHILLER MAYORES 20 AÑOS;2021;400;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 323 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
01;2021-323-01;TASA 3.02 INSCRIPCION PRUEBAS ACCESO CICLOS FORMATIVOS GRADO MEDIO Y GRADO SUPER;2021;4500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 323 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
02;2021-323-02;TASA 3.03 INSCRIPCION PRUEBAS COMPETENCIA ACCESO FORMACION CERT. PROF. NIVEL 2 Y;2021;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 323 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
03;2021-323-03;TASA 3.04 INSCRIPCION PRUEBAS TITULOS TECNICO Y TECNICO SUPERIOR DE FORMACION PR;2021;5000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 323 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
00;2021-324-00;TASA 4.01. CERTIFICACION Y CONTROL DOP ACEITE DE LA RIOJA;2021;7000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
01;2021-324-01;TASA 4.02 CERTIFICACION Y CONTROL PRODUCCION AGRARIA ECOLOGICA;2021;15000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
02;2021-324-02;TASA 4.03 CERTIFICACION Y CONTROL DOP PERAS DE RINCON DE SOTO;2021;14000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
03;2021-324-03;TASA 4.04 CERTIFICACION Y CONTROL IGP CHORIZO RIOJANO;2021;2500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
04;2021-324-04;TASA 4.05 CERTIFICACION Y CONTROL IGP PIMIENTO RIOJANO;2021;2000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
05;2021-324-05;TASA 4.06 CERTIFICACION Y CONTROL DOP QUESO CAMERANO;2021;1400;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
06;2021-324-06;TASA 4.07 CERTIFICACION Y CONTROL IGP COLIFLOR DE CALAHORRA;2021;800;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
07;2021-324-07;TASA 4.08 CERTIFICACION Y CONTROL IGP VALLES DEL SADACIA;2021;900;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
08;2021-324-08;TASA 4.09 TRAMITACION EFICIENCIA ENERGETICA EDIFICIOS;2021;40000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 324 ACTUACIONES DE CARACTER ECONOMICO;
00;2021-329-00;TASA 9.01 PRESTACION DE SERVICIOS DE CARACTER GENERAL;2021;6100;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 329 ACTUACIONES DE CARACTER GENERAL;
01;2021-329-01;TASA 9.02 DIRECCION E INSPECCION DE OBRAS POR CONTRATO;2021;1001300;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 329 ACTUACIONES DE CARACTER GENERAL;
03;2021-329-03;TASA 9.04. INSCRIPCION EN PROCESOS DE SELECCION DE PERSONAL;2021;140000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTONOMA DE LA RIOJA, 329 ACTUACIONES DE CARACTER GENERAL;
00;2021-331-00;TASA 1.15 AUTORIZACIONES;2021;6300;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 331 SERVICIOS PUBLICOS BASICOS;
00;2021-332-00;TASA 2.15 ACREDITACION CENTROS DE FORMACION PARA EL EMPLEO;2021;8000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
01;2021-332-01;TASA 2.16 RECONOCIMIENTO DE COMPETENCIAS PROFESIONALES;2021;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
02;2021-332-02;TASA 2.17 CALIFICACION ACTUACIONES PROTEGIDAS EN MATERIA DE VIVIENDA;2021;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
03;2021-332-03;TASA 2.18 CEDULAS DE HABITABILIDAD;2021;65000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
04;2021-332-04;TASA 2.19 PRESTACION SERVICIOS ADMINISTRATIVOS GENERALES SERVICIO DE URBANISMO;2021;7000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
05;2021-332-05;TASA 2.20 TRAMITACION DE PROCEDIMIENTOS URBANISTICOS;2021;10000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
06;2021-332-06;TASA 2.21 AUTORIZACIONES URBANISTICAS;2021;10000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
07;2021-332-07;TASA 2.22 INSCRIPCION EN REGISTRO DE ENTIDADES URBANISTICAS COLABORADORAS;2021;200;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
08;2021-332-08;TASA 2.23 EXPEDICION Y HOMOLOGACION TITULOS MONITOR Y DIRECTOR DE TIEMPO LIBRE;2021;1400;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
09;2021-332-09;TASA 2.24 PERMISOS ACAMPADA LIBRE GRUPOS O ASOCIACIONES JUVENILES EN LA CAR;2021;700;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
10;2021-332-10;TASA 2.25 EXPEDICION DE CARNET JOVEN;2021;15000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCION Y PROMOCION SOCIAL;
00;2021-333-00;TASA 3.15 SERVICIOS SANITARIOS;2021;150000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
01;2021-333-01;TASA 3.16 INSCRIPCIONES Y CONTROLES SANITARIOS CARNES FRESCAS Y OTROS PROD. ANIM;2021;23000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
02;2021-333-02;TASA 3.17 SERVICIOS DOCENTES DE EOI Y DE CONSERVATORIOS DE MUSICA DE LA RIOJA;2021;271300;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
03;2021-333-03;TASA 3.18 EXPEDICION DE TITULOS ACADEMICOS Y PROFESIONALES;2021;130000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCION DE BIENES PUBLICOS DE CARACTER PREFERENTE;
00;2021-334-00;TASA 4.15 PRESTACION SERVICIOS RELACIONADOS CON LA PRODUCCION AGRICOLA;2021;40000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARACTER ECONOMICO;
01;2021-334-01;TASA 4.16 ORDENACION Y DEFENSA DE LAS INDUSTRIAS AGRARIAS;2021;8000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARACTER ECONOMICO;
02;2021-334-02;TASA 4.17 GESTION TECNICO FACULTATIVA SERVICIOS AGRONOMICOS;2021;29450;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARACTER ECONOMICO;
03;2021-334-03;TASA 4.18 SERVICIOS FACULTATIVOS VETERINARIOS;2021;16000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARACTER ECONOMICO;
05;2021-334-05;TASA 4.20 ASISTENCIA DEL SERVICIO VETERINARIO OFICIAL A FERIAS;2021;2600;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARACTER ECONOMICO;
