Descripcion;Identificador;Titulo;Año;Prevision Inicial ;IngresoClassificationPath;
04;2023-240-04;IMPUESTO SOBRE HIDROCARBUROS;2023;48579030;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
05;2023-240-05;IMPUESTO SOBRE LA ELECTRICIDAD;2023;9326250;Comunidad Autónoma de La Rioja, 2 IMPUESTOS INDIRECTOS, 24 SOBRE CONSUMOS ESPECÍFICOS, 240 IMPUESTOS ESPECIALES;
00;2023-280-00;SOBRE DETERMINADOS MEDIOS DE TRANSPORTE;2023;3484000;Comunidad Autónoma de La Rioja, 28 OTROS IMPUESTOS INDIRECTOS, 280 SOBRE DETERMINADOS MEDIOS DE TRANSPORTE, 2 IMPUESTOS INDIRECTOS;
01;2023-282-01;SOBRE ELIMINACIÓN DE RESIDUOS EN VERTEDEROS;2023;4100000;Comunidad Autónoma de La Rioja, 282 IMPUESTOS MEDIOAMBIENTALES, 28 OTROS IMPUESTOS INDIRECTOS, 2 IMPUESTOS INDIRECTOS;
02;2023-282-02;IMPUESTO SOBRE EL IMPACTO VISUAL ELEMENTOS SUMINISTRO ENERGÍA ELÉCTRICA;2023;2542000;Comunidad Autónoma de La Rioja, 282 IMPUESTOS MEDIOAMBIENTALES, 28 OTROS IMPUESTOS INDIRECTOS, 2 IMPUESTOS INDIRECTOS;
02;2023-300-02;VENTA DE PUBLICACIONES DEL INSTITUTO DE ESTUDIOS RIOJANOS;2023;22000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 300 VENTA DE PUBLICACIONES PROPIAS;
99;2023-300-99;VENTA DE OTRAS PUBLICACIONES;2023;3700;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 300 VENTA DE PUBLICACIONES PROPIAS;
00;2023-304-00;VENTA DE PLANTAS Y SEMILLAS DE VIVEROS;2023;125000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 304 VENTA DE PRODUCTOS AGROPECUARIOS;
01;2023-304-01;EXPLOTACIONES AGRARIAS;2023;60000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 304 VENTA DE PRODUCTOS AGROPECUARIOS;
08;2023-309-08;VENTA DE OBJETOS PUBLICITARIOS;2023;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 309 VENTA DE OTROS BIENES;
09;2023-309-09;VENTA DE CHATARRA;2023;6500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 30 VENTA DE BIENES, 309 VENTA DE OTROS BIENES;
00;2023-312-00;RESIDENCIA DE PERSONAS MAYORES DE CALAHORRA;2023;1003000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
01;2023-312-01;RESIDENCIA DE PERSONAS MAYORES DE LARDERO;2023;875000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
02;2023-312-02;HOGARES DE TERCERA EDAD;2023;0;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
03;2023-312-03;ESTANCIAS RESIDENCIA SANTA LUCÍA DE FUENMAYOR;2023;775000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
04;2023-312-04;CENTROS CONCERTADOS ANCIANOS, DISCAPACITADOS Y OTROS;2023;0;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
05;2023-312-05;CENTROS DE DÍA SERVICIOS DE PERSONAS MAYORES;2023;1454500;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
07;2023-312-07;PLAZAS CONCERTADAS PERSONAS CON DISCAPACIDAD;2023;1600000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
08;2023-312-08;CAMPAMENTOS E INTERCAMBIOS;2023;40000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
09;2023-312-09;CENTROS DE INFORMACIÓN JUVENILES;2023;3000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 312 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
00;2023-313-00;CENTRO ASISTENCIAL ALBELDA DE IREGUA;2023;600000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
01;2023-313-01;ESCUELAS INFANTILES DE PRIMER CICLO;2023;100000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
02;2023-313-02;SERVICIOS DOCENTES ESCUELA SUPERIOR DE DISEÑO DE LA RIOJA;2023;500000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
04;2023-313-04;VENTA DE ENTRADAS FILMOTECA RAFAEL AZCONA;2023;18000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
06;2023-313-06;ACTIVIDADES DIDÁCTICAS ORGANIZADAS POR LOS MUSEOS DE LA RIOJA;2023;500;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
07;2023-313-07;INSTALACIONES DEPORTIVAS;2023;42000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
08;2023-313-08;JUEGOS DEPORTIVOS DE LA RIOJA;2023;152000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 313 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
00;2023-314-00;SERVICIOS ANALÍTICOS LABORARIO REGIONAL;2023;140000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARÁCTER ECONÓMICO;
02;2023-314-02;SERVICIOS ANALÍTICOS ESTACIÓN ENOLÓGICA DE HARO;2023;700000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARÁCTER ECONÓMICO;
06;2023-314-06;VENTA DE CARNET DE TRANSPORTE ESTUDIANTES;2023;3000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 314 ACTUACIONES DE CARÁCTER ECONÓMICO;
00;2023-319-00;DERECHOS MATRÍCULA CURSOS Y SEMINARIOS;2023;500000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 319 ACTUACIONES DE CARÁCTER GENERAL;
01;2023-319-01;RECINTO FERIAL ALBELDA DE IREGUA;2023;20100;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 319 ACTUACIONES DE CARÁCTER GENERAL;
06;2023-319-06;SERVICIO PERICIAL INS MEDICINA LEGAL RECLAMACIONES CIRCULACIÓN VEHÍCULOS A MOTOR;2023;3000;Comunidad Autónoma de La Rioja, 31 PRESTACIÓN DE SERVICIOS, 3 TASAS Y OTROS INGRESOS, 319 ACTUACIONES DE CARÁCTER GENERAL;
00;2023-321-00;TASA 1.01 PRESTACIÓN DEL SERVICIO DE TRANSPORTE AGUA POTABLE;2023;0;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 321 SERVICIOS PÚBLICOS BÁSICOS;
01;2023-321-01;TASA 1.02. INSCRIPCIÓI Y EXPEDICIÓN CERTIFICADOS REGISTRO PAREJAS DE HECHO;2023;5600;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 321 SERVICIOS PÚBLICOS BÁSICOS;
02;2023-321-02;TASA 1.03. PRESTACIÓN SERVICIOS ADMINISTRATIVOS MATERIA COMUNICACIÓN AUDIOVISUAL;2023;14000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 321 SERVICIOS PÚBLICOS BÁSICOS;
03;2023-321-03;TASA 1.04 UTILIZACIÓN CENTROS TELECOMUNICACIONES POR PRESTADORES SERV. COM. AUD.;2023;160350;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 321 SERVICIOS PÚBLICOS BÁSICOS;
00;2023-323-00;TASA 3.01 INSCRIPCIÓN PRUEBAS LIBRES OBTENCIÓN TÍTULO BACHILLER MAYORES 20 AÑOS;2023;400;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 323 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
01;2023-323-01;TASA 3.02 INSCRIPCIÓN PRUEBAS ACCESO CICLOS FORMATIVOS GRADO MEDIO Y SUPERIOR;2023;2000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 323 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
02;2023-323-02;TASA 3.03 INSCRIPCIÓN PRUEBAS ACCESO FORMACIÓN CERT. PROF. NIVEL 2 Y 3;2023;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 323 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
00;2023-324-00;TASA 4.01. CERTIFICACIÓN Y CONTROL DOP ACEITE DE LA RIOJA;2023;7000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
01;2023-324-01;TASA 4.02 CERTIFICACIÓN Y CONTROL PRODUCCIÓN AGRARIA ECOLÓGICA;2023;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
03;2023-324-03;TASA 4.04 CERTIFICACIÓN Y CONTROL IGP CHORIZO RIOJANO;2023;2500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
04;2023-324-04;TASA 4.05 CERTIFICACIÓN Y CONTROL IGP PIMIENTO RIOJANO;2023;2000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
05;2023-324-05;TASA 4.06 CERTIFICACIÓN Y CONTROL DOP QUESO CAMERANO;2023;1400;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
06;2023-324-06;TASA 4.07 CERTIFICACIÓN Y CONTROL IGP COLIFLOR DE CALAHORRA;2023;800;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
07;2023-324-07;TASA 4.08 CERTIFICACIÓN Y CONTROL IGP VALLES DEL SADACIA;2023;3350;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
08;2023-324-08;TASA 4.09 TRAMITACIÓN EFICIENCIA ENERGÉTICA EDIFICIOS;2023;70000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA, 324 ACTUACIONES DE CARÁCTER ECONÓMICO;
00;2023-329-00;TASA 9.01 PRESTACIÓN DE SERVICIOS DE CARÁCTER GENERAL;2023;5450;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 329 ACTUACIONES DE CARÁCTER GENERAL, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA;
01;2023-329-01;TASA 9.02 DIRECCIÓN E INSPECCIÓN OBRAS POR CONTRATO;2023;1205300;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 329 ACTUACIONES DE CARÁCTER GENERAL, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA;
03;2023-329-03;TASA 9.04. INSCRIPCIÓN EN PROCESOS DE SELECCIÓN DE PERSONAL;2023;57000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 329 ACTUACIONES DE CARÁCTER GENERAL, 32 TASAS DE LA COMUNIDAD AUTÓNOMA DE LA RIOJA;
00;2023-331-00;TASA 1.15 AUTORIZACIONES;2023;7000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 331 SERVICIOS PÚBLICOS BÁSICOS;
00;2023-332-00;TASA 2.15 ACREDITACIÓN CENTROS Y/O ENTIDADES DE FORMACIÓN PARA EL EMPLEO;2023;6200;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
02;2023-332-02;TASA 2.17 CALIFICACIÓN ACTUACIONES PROTEGIDAS EN MATERIA DE VIVIENDA;2023;1000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
03;2023-332-03;TASA 2.18 CÉDULAS DE HABITABILIDAD;2023;82000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
04;2023-332-04;TASA 2.19 PRESTACIÓN SERVICIOS ADMINISTRATIVOS GENERALES SERVICIO DE URBANISMO;2023;7000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
05;2023-332-05;TASA 2.20 TRAMITACIÓN DE PROCEDIMIENTOS URBANÍSTICOS;2023;10000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
06;2023-332-06;TASA 2.21 AUTORIZACIONES URBANÍSTICAS;2023;10000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
07;2023-332-07;TASA 2.22 INSCRIPCIÓN EN REGISTRO DE ENTIDADES URBANÍSTICAS COLABORADORAS;2023;200;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
08;2023-332-08;TASA 2.23 EXPEDICIÓN Y HOMOLOGACIÓN TÍTULOS MONITOR Y DIRECTOR DE TIEMPO LIBRE;2023;1500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
09;2023-332-09;TASA 2.24 PERMISOS ACAMPADA LIBRE GRUPOS O ASOCIACIONES JUVENILES EN LA CAR;2023;800;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 332 ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL;
00;2023-333-00;TASA 3.15 SERVICIOS SANITARIOS;2023;155000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
01;2023-333-01;TASA 3.16 INSCRIPCIONES Y CONTROLES SANITARIOS CARNES FRESCAS Y OTROS PROD. ANIM;2023;20000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
02;2023-333-02;TASA 3.17 SERVICIOS DOCENTES DE EOI Y DE CONSERVATORIOS DE MÚSICA DE LA RIOJA;2023;240000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
03;2023-333-03;TASA 3.18 EXPEDICIÓN DE TÍTULOS ACADÉMICOS Y PROFESIONALES;2023;140000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 333 PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE;
00;2023-334-00;TASA 4.15 PRESTACIÓN SERVICIOS RELACIONADOS CON LA PRODUCCIÓN AGRÍCOLA;2023;40000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
01;2023-334-01;TASA 4.16 ORDENACIÓN Y DEFENSA DE LAS INDUSTRIAS AGRARIAS;2023;8000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
02;2023-334-02;TASA 4.17 GESTIÓN TÉCNICO FACULTATIVA SERVICIOS AGRONÓMICOS;2023;40000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
03;2023-334-03;TASA 4.18 SERVICIOS FACULTATIVOS VETERINARIOS;2023;25000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
05;2023-334-05;TASA 4.20 ASISTENCIA DEL SERVICIO VETERINARIO OFICIAL A FERIAS;2023;2600;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
06;2023-334-06;TASA 4.21 INDUSTRIA;2023;220000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
07;2023-334-07;TASA 4.22 PRESTACIÓN DE SERVICIOS DE ITV;2023;500000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
08;2023-334-08;TASA 4.23 TRAMITACIÓN ADMINISTRATIVA DE LICENCIA COMERCIAL ESPECÍFICA;2023;100;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
10;2023-334-10;TASA 4.25 SERVICIOS PRESTADOS EN EL REGISTRO DE PROPIEDAD INTELECTUAL;2023;3500;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
11;2023-334-11;TASA 4.26 ORDENACIÓN DE TRANSPORTES MECÁNICOS POR CARRETERA;2023;250000;Comunidad Autónoma de La Rioja, 3 TASAS Y OTROS INGRESOS, 33 TASAS AFECTADAS EN DECRETOS DE TRANSFERENCIAS, 334 ACTUACIONES DE CARÁCTER ECONÓMICO;
