EJERCICIO;ID_CAPITULO;DESC_CAPITULO;ID_ARTICULO;DESC_ARTICULO;ID_CONCEPTO;DESC_CONCEPTO;ID_SUBCONCEPTO;DESC_SUBCONCEPTO;PROPUESTA
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-01;Impuesto Sobre Productos Intermedios                                                                                                                                                                                                                      ; 73254,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-02;Impuesto Sobre La Cerveza                                                                                                                                                                                                                                 ; 1347338,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-03;Impuesto Sobre Las Labores Del Tabaco                                                                                                                                                                                                                     ; 28136299,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-04;Impuesto Sobre Hidrocarburos                                                                                                                                                                                                                              ; 57944581,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-4;Sobre Consumos Específicos                                                                                                                                                                                                                                ;2-4-0;Impuestos Especiales                                                                                                                                                                                                                                      ;2-4-0-05;Impuesto Sobre La Electricidad                                                                                                                                                                                                                            ; 8026994,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-8;Otros Impuestos Indirectos                                                                                                                                                                                                                                ;2-8-0;Sobre Determinados Medios De Transporte                                                                                                                                                                                                                   ;2-8-0-00;Sobre Determinados Medios De Transporte                                                                                                                                                                                                                   ; 2929321,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-8;Otros Impuestos Indirectos                                                                                                                                                                                                                                ;2-8-2;Impuestos Medioambientales                                                                                                                                                                                                                                ;2-8-2-02;Impuesto Sobre El Impacto Visual Y Medio Ambiental                                                                                                                                                                                                        ; 7093202,0
 00000000000000000000000000000000002025;2;Impuestos Indirectos                                                                                                                                                                                                                                      ;2-8;Otros Impuestos Indirectos                                                                                                                                                                                                                                ;2-8-3;Impuestos Economía Circular                                                                                                                                                                                                                               ;2-8-3-01;Depósitos Residuos                                                                                                                                                                                                                                        ; 2336196,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-0;Venta De Publicaciones Propias                                                                                                                                                                                                                            ;3-0-0-02;Venta De Publicaciones Del Instituto De Estudios Riojanos                                                                                                                                                                                                 ; 36156,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-0;Venta De Publicaciones Propias                                                                                                                                                                                                                            ;3-0-0-99;Venta De Otras Publicaciones                                                                                                                                                                                                                              ; 800,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-4;Venta De Productos Agropecuarios                                                                                                                                                                                                                          ;3-0-4-00;Venta De Plantas Y Semillas De Viveros                                                                                                                                                                                                                    ; 138084,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-4;Venta De Productos Agropecuarios                                                                                                                                                                                                                          ;3-0-4-01;Explotaciones Agrarias                                                                                                                                                                                                                                    ; 220816,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-9;Venta De Otros Bienes                                                                                                                                                                                                                                     ;3-0-9-08;Venta De Objetos Publicitarios                                                                                                                                                                                                                            ; 250,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-0;Venta De Bienes                                                                                                                                                                                                                                           ;3-0-9;Venta De Otros Bienes                                                                                                                                                                                                                                     ;3-0-9-09;Venta De Chatarra                                                                                                                                                                                                                                         ; 8000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-00;Residencia De Personas Mayores De Calahorra                                                                                                                                                                                                               ; 1063500,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-01;Residencia De Personas Mayores De Lardero                                                                                                                                                                                                                 ; 1309189,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-03;Estancias Residencia Santa Lucía De Fuenmayor                                                                                                                                                                                                             ; 978000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-05;Centros De Día Servicios De Personas Mayores                                                                                                                                                                                                              ; 1760694,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-07;Plazas Concertadas Personas Con Discapacidad                                                                                                                                                                                                              ; 2942721,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-08;Campamentos E Intercambios                                                                                                                                                                                                                                ; 57000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-2;Actuaciones De Protección Y Promoción Social                                                                                                                                                                                                              ;3-1-2-09;Centros De Información Juveniles                                                                                                                                                                                                                          ; 400,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-00;Centro Asistencial Albelda De Iregua                                                                                                                                                                                                                      ; 752708,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-01;Escuelas Infantiles De Primer Ciclo                                                                                                                                                                                                                       ; 25502,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-02;Servicios Docentes Escuela Superior De Diseño De La Rioja                                                                                                                                                                                                 ; 250000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-04;Venta De Entradas Filmoteca Rafael Azcona                                                                                                                                                                                                                 ; 18000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-07;Instalaciones Deportivas                                                                                                                                                                                                                                  ; 42000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-3;Producción De Bienes Públicos De Carácter Preferente                                                                                                                                                                                                      ;3-1-3-08;Juegos Deportivos De La Rioja                                                                                                                                                                                                                             ; 181434,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-4;Actuaciones De Carácter Económico                                                                                                                                                                                                                         ;3-1-4-00;Servicios Analíticos Laborario Regional                                                                                                                                                                                                                   ; 140000,0
 00000000000000000000000000000000002025;3;Tasas Y Otros Ingresos                                                                                                                                                                                                                                    ;3-1;Prestación De Servicios                                                                                                                                                                                                                                   ;3-1-4;Actuaciones De Carácter Económico                                                                                                                                                                                                                         ;3-1-4-02;Servicios Analíticos Estación Enológica De Haro                                                                                                                                                                                                           ; 800000,0
