#Partida_completa,Orgánica_completa,Funcional_Completa,Económica_completa,Org1_Seccion,Org1_Denominación,Org1_Completa,Org2_Servicio,Org2_Denominación,Org2_Completa,Org3_Centro,Org3_Denominación,Org3_Completa,Ec1_Capítulo,Ec1_Denominación,Ec1_Completa,Ec2_Artículo,Ec2_Denominación,Ec2_Completa,Ec3_Concepto,Ec3_Denominación,Ec3_Completa,Ec4_Subconcepto,Ec4_Denominación,Ec4_Completa,Func1_Grupo,Func1_Denominación,Func1_Completa,Func2_Función,Func2_Denominación,Func2_Completa,Func3_Subfunción,Func3_Denominación,Func3_Completa,Func4_Programa,Func4_Denominación,Func4_Completa,Func5_Subprograma,Func5_Denominación,Func5_Completa,Presupuesto
0101.1811.12401,0101,1811,12401,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,12,FUNCIONARIOS,12 FUNCIONARIOS,124,"RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS","124 RETRIBUCION TRIBUNALES, OPOSICIONES Y CONCURSOS",12401,RETRIBUCION OPOSICIONES Y CONCURSOS,12401 RETRIBUCION OPOSICIONES Y CONCURSOS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,6000
0101.1811.13100,0101,1811,13100,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,13,LABORALES,13 LABORALES,131,LABORAL TEMPORAL,131 LABORAL TEMPORAL,13100,RETRIBUCIONES BÁSICAS,13100 RETRIBUCIONES BASICAS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,18373
0101.1811.13101,0101,1811,13101,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,13,LABORALES,13 LABORALES,131,LABORAL TEMPORAL,131 LABORAL TEMPORAL,13101,OTRAS REMUNERACIONES,13101 OTRAS REMUNERACIONES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,11950
0101.1811.14100,0101,1811,14100,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,14,OTRO PERSONAL,14 OTRO PERSONAL,141,OTRO PERSONAL,141 OTRO PERSONAL,14100,PERSONAL VARIO,14100 PERSONAL VARIO,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,5000
0101.1811.15100,0101,1811,15100,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,15,INCENTIVOS AL RENDIMIENTO,15 INCENTIVOS AL RENDIMIENTO,151,GRATIFICACIONES,151 GRATIFICACIONES,15100,GRATIFICACIONES,15100 GRATIFICACIONES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,25000
0101.1811.16000,0101,1811,16000,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",160,CUOTAS SOCIALES,160 CUOTAS SOCIALES,16000,SEGURIDAD SOCIAL,16000 SEGURIDAD SOCIAL,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,1046312
0101.1811.16001,0101,1811,16001,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",160,CUOTAS SOCIALES,160 CUOTAS SOCIALES,16001,MUFACE,16001 MUFACE,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,3500
0101.1811.16200,0101,1811,16200,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",162,GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,16200,FORMACIÓN Y PERFECCIONAMIENTO DE PERSONAL,16200 FORMACION Y PERFECCIONAMIENTO DE PERSONAL,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,5000
0101.1811.16205,0101,1811,16205,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",162,GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,16205,SEGUROS,16205 SEGUROS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,22625
0101.1811.16209,0101,1811,16209,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",162,GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,162 GASTOS SOCIALES DE FUNCIONARIOS Y PERSONAL NO LABORAL,16209,OTROS,16209 OTROS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,30000
0101.1811.16400,0101,1811,16400,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,16,"CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR","16 CUOTAS, PRESTACIONES Y GASTOS SOCIALES A CARGO DEL EMPLEADOR",164,COMPLEMENTO FAMILIAR,164 COMPLEMENTO FAMILIAR,16400,COMPLEMENTO FAMILIAR,16400 COMPLEMENTO FAMILIAR,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,3683
0101.1811.17000,0101,1811,17000,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,1,GASTOS DE PERSONAL,1 GASTOS DE PERSONAL,17,ATENCIONES DIVERSAS,17 ATENCIONES DIVERSAS,170,IMPREVISTOS Y FUNCIONES NO CLASIFICADAS,170 IMPREVISTOS Y FUNCIONES NO CLASIFICADAS,17000,IMPREVISTOS Y FUNCIONES NO CLASIFICADAS,17000 IMPREVISTOS Y FUNCIONES NO CLASIFICADAS,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,74959
0101.1811.20200,0101,1811,20200,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,20,ARRENDAMIENTOS Y CANONES,20 ARRENDAMIENTOS Y CANONES,202,EDIFICIOS Y OTRAS CONSTRUCCIONES,202 EDIFICIOS Y OTRAS CONSTRUCCIONES,20200,EDIFICIOS Y OTRAS CONSTRUCCIONES,20200 EDIFICIOS Y OTRAS CONSTRUCCIONES,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,8500
0101.1811.20400,0101,1811,20400,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,20,ARRENDAMIENTOS Y CANONES,20 ARRENDAMIENTOS Y CANONES,204,MATERIAL DE TRANSPORTE,204 MATERIAL DE TRANSPORTE,20400,MATERIAL DE TRANSPORTE,20400 MATERIAL DE TRANSPORTE,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,5000
0101.1811.21200,0101,1811,21200,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",212,EDIFICIOS Y OTRAS CONSTRUCCIONES,212 EDIFICIOS Y OTRAS CONSTRUCCIONES,21200,INMOVILIZADO PROPIO,21200 INMOVILIZADO PROPIO,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,18000
0101.1811.21300,0101,1811,21300,01,PARLAMENTO,01 PARLAMENTO,0101,PARLAMENTO,0101 PARLAMENTO,,,,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,2 GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACION","21 REPARACIONES, MANTENIMIENTO Y CONSERVACION",213,"MAQUINARIA, INSTALACION Y UTILLAJE","213 MAQUINARIA, INSTALACION Y UTILLAJE",21300,INMOVILIZADO PROPIO,21300 INMOVILIZADO PROPIO,1,SERVICIOS PÚBLICOS BÁSICOS,1 SERVICIOS PUBLICOS BASICOS,18,"ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURÍDICO","18 ACTIVIDAD LEGISLATIVA, EJECUTIVA Y ASESORAMIENTO JURIDICO",181,ALTA DIRECC.DE LA COMUN.AUTÓN.,181 ALTA DIRECC.DE LA COMUN.AUTON.,1811,ACTIVIDAD LEGISLATIVA,1811 ACTIVIDAD LEGISLATIVA,,,,30000
